listing_id,id,date,reviewer_id,reviewer_name,comments
84033,4017952,03/04/2013,4210191,Maria,"What a magnificent apartment!! We thoroughly enjoyed our stay from start to finish. Every detail of the flat was exceptional and we can not speak highly enough of this accomodation. The terrace is stunning and flat is really spacious. Luciana and Maria were very, very helpful and friendly."
84033,4078936,08/04/2013,3855688,Mark,"Wonderful place. In the middle of beautiful Palermo Soho. I felt like home from the very beginning. Everything is modern, clean and comfortable. And the roof terrace is a paradise. "
84033,4819379,27/05/2013,201509,Hayden,An amazing apartment in a great location in Palermo Soho. Close to everything you could need and the rooftop terrace is perfect place to relax and look out over the city! Host responded quickly and building management was very helpful! Perfect stay. Thanks Maria
84033,5049867,10/06/2013,5393485,Rukmal,This was a really lovely place and the communication with Maria throughout was top notch. The real selling point was the rooftop terrace which does not disappoint. The location is also fantastic and felt very safe. 
84033,5378380,27/06/2013,5927476,Daniel,"We had a great time there and hope to come back soon! Para os brasileiros, o apartamento é excelente, com ótima localização e tem de tudo o que se precisa! Luciana que nos recepcionou foi muito atenciosa com todos os detalhes e com toda ajuda que precisamos no decorrer de nossa estadia. Recomendamos!
<br/>Thanks Luciana for everything! "
84033,5825385,18/07/2013,3209272,Dania,"Hermoso departamento en la mejor zona de buenos aires, Fernando esta en recepción 24horas y resuelve cualquier cosita! María y Luciana también toda la disponibilidad, seguro regresaremos ahí!"
84033,6542053,16/08/2013,7778725,Paul,"This is a lovely place. Great location. Very safe. Has access to a small gym, swimming pool and has its own roof top terrace. The weather was cold-ish when I was there, but apartment was warm, with air conditioner / heater in main room and bedroom. The place is clean and comfortable, with wi-fi. I'd stay there again. "
84033,6756621,24/08/2013,7052650,Karoline,"This apartment was very clean, spacious, and conveniently located - we were greeted when we arrived and given a tour of the apartment and gym/laundry facilities. The terrace is beautiful - we only wish it was warmer outside so we could have spent more time there! Everything was well organized and Maria emailed us throughout the duration of our stay to check in and see if we needed anything. "
84033,6941380,31/08/2013,6914975,Stephen,"The apartment is more or less as depicted in the pictures. You will be dealing with Luciana, the apartment manager, and not Maria, the owner. Luciana is responsive, but does not respond as quickly as other airbnb people I have dealt with.
<br/>
<br/>The apartment is very nice, and the upstairs balcony with BBQ and cabana is a plus. The location is also nice: 7-8 minutes to the subway and a few blocks walk to the heart of Palermo Soho. It is also pretty quiet. 
<br/>
<br/>The experience was great. I only had an issue with the stove not working, but Luciana called the electrician to fix it. 
<br/>
<br/>It is definitely a nice apartment. I wouldn't hesitate to boo it! 
<br/>"
84033,7364980,17/09/2013,4317033,Tiago,"Maria was very helpful in answering my messages before the reservation. The apartment was great, clean, ready to use. Just a little problem with the delivery of the keys. But it was a very good a experience!"
84033,7778863,02/10/2013,8801933,Phil,"Great location in the heart of Palermo. 4 blocks away from Plaza Italia station.  Always felt safe in the neighborhood. Checking and checkout went smoothly. First experience with airbnb was wonderful. For approximately $500 for a week, I felt like I had a vacation home in Buenos Aires."
84033,7912671,08/10/2013,5790504,Vitor Leonardo,"Muito bom!!! Ótimo apartamento, excelente recepção da anfitriã, muito bem localizado em Palermo Soho! Super indicado, limpo amplo, excelente terraço! Com certeza retornarei! "
84033,8345718,27/10/2013,7604913,Karl Heinz,"Sehr geehrtes airbnb-Team,
<br/>Wir haben 2 1/2 Wochen in diesem Appartement verbracht und es keinen Tag bereut. Palermo ist ein wunderbar ruhiger Stadtteil und die Wohnung war eine regelrechte Oase der Erholung, auch wenn man die Kinder der nahe gelegenen Schule an den Wochentagen durchaus hören konnte. Für unser tägliches Sporttrainung - unabdingbar für die abendlichen  Tangomilongas - gibt es einen Fitnessraum, wenngleich mit verbesserungsfähigen Geräten, dafür ist der vom Hausmeister Fernando bestens gepflegte Pool optimal. Alles in allem eine sehr schöne Wohnung.
<br/>Angela u. K.H.becker"
84033,9014251,02/12/2013,3012265,Lauryn,"It was wonderful! A perfect location, beautiful and clean place, and overall a great time. "
84033,11804848,15/04/2014,13197366,Camila,"La ubicación es perfecta, a pocas cuadras del metro y de la Plaza Serrano, en un barrio bien entretenido con muchos bares, restaurantes, tiendas, almacenes, etc.  El departamento es cómodo y  acogedor, todo impecable! "
84033,12147884,24/04/2014,7882365,Marcio,"Amazing location for good food and wine around. Good building security everything was fine and as described.
<br/>Palermo is not cheap: stores, restaurants, bars and night-clubs - don't go there if you are not used to stay in this kind of neighbourhood. If you like this stuff... super!
<br/>Cheers"
11508,69974425,15/04/2016,1649589,Jamie,The Palermo neighborhood is great for guests with easy access to the subway and many restaurants! Candela is very responsive and helpful. It was very easy and convenient to stay here.
11508,76664952,28/05/2016,4790882,Carolyn,"Candela was a wonderful host and gave us lots of information about the neighborhood and checked in several times to make sure everything was satisfactory. Although we did not meet in person, the check in process was easy and everyone in the building was very nice.  I am very happy we spent our month in Buenos Aires here and would highly recommend it to other guests!"
11508,124172812,01/01/2017,24103270,Andres,"Como lo exprese en una reseña de mi estadía en este apartamento en el 2015, el apartamento es moderno, con lindos acabados y muy bien mantenido, en un edificio como n excelente gimnasio y piscina, en una zona linda de la ciudad y de fácil acceso por transporte público. Candela ha siempre sido muy amable. La comunicación siempre fue fácil y efectiva. Es mi segundo semestre como huésped en este apartamento, lo recomiendo y de estar disponible, espero sea nuevamente mi casa en BsAs."
11508,140730453,31/03/2017,75218361,Gustavo,Excelente departamento tanto en ubicacion (2 cuadras del metrobus y subte) como confort (amenities del edificio).  Candela y Gaston siempre muy atentos en todo! Sin duda volveria a hospedarme!
11508,145868896,20/04/2017,75218361,Gustavo,Excelente departamento. Estuve casi 2 meses. Lo recomiendo 100%. Candela y Gaston estuvieron siempre predispuestos. Gracias por todo!
11508,150584133,08/05/2017,6998040,Jack,"perfect location, looks exactly like the pictures, very safe and secure, best views in the city from rooftop gym. "
